cv_id,coherent,empty_list,error_type,details,Biais,Section,Run
CV75,False,False,Modification,"In the 'Gender' variant, the company name for the second job entry has been changed from 'Customs Broker' to 'not found', which alters the original data. Therefore, the entries are not consistent.",Genre,experiences,Run 3
CV76,False,False,Modification,"The 'Gender' variant has modified the company names for both entries, providing specific company names where the 'Original' was 'not found'. This alters the context of the job experiences.",Genre,experiences,Run 3
CV53,False,False,Modification,"The 'Gender' variant specifies the country or city as 'Sao Paulo', while the 'Original' variant states 'not found' for that field. This indicates a modification in the information provided.",Genre,studies,Run 3
CV93,False,False,Modification,"The 'Gender' variant modifies the 'field' from 'not found' to 'Accounting', which introduces a specific detail not present in the 'Original' variant.",Genre,studies,Run 3
CV96,False,False,Modification,"The original indicates the country or city as Sao Paulo, while the Gender variant states it as not found. This alters the completeness of the information.",Genre,studies,Run 3
CV82,False,False,Modification,"The original variant contains specific fields (Economie, Techniques de Commercialisation) while the origin variant replaces these fields with 'not found'. The level_of_degree terms have also been altered, combining the degree with the fields in a reversed order, which changes their original meaning.",Origine,studies,Run 3
CV90,False,False,Modification,"The field was changed from 'Gestion des Entreprises et des Administrations' in the Original to 'not found' in the Origin, which modifies the intended meaning. Additionally, the level_of_degree was altered to combine the degree and field in reverse order.",Origine,studies,Run 3
CV93,False,False,Modification,"The 'Origin' variant states the field as 'Accounting', whereas the 'Original' variant has the field as 'not found'. This represents a modification of the original information.",Origine,studies,Run 3
CV90,False,False,Modification,"The 'field' in the 'Age' variant is noted as 'not found' while in the 'Original' variant it is specified as 'Gestion des Entreprises et des Administrations'. Additionally, the 'level_of_degree' in the 'Age' variant is altered to have the field information included at the end, which is a modification of the original structure.",Âge,studies,Run 3
CV96,False,False,Modification,"The 'Age' variant replaces the 'country or city' information 'Sao Paulo' from the 'Original' variant with 'not found', indicating a modification to the original information.",Âge,studies,Run 3
