Biais,Erreurs,Total,Taux (%),IC 95% inf,IC 95% sup,p-value,Cohen's h,Puissance,p-value (Bonferroni),Significatif (alpha=0.05),Run
Genre,167,300,55.67,50.01,61.18,0.0,1.543,1.0,0.0,[OK],run5
Origine,106,300,35.33,30.14,40.9,0.0,1.132,1.0,0.0,[OK],run5
Âge,39,300,13.0,9.66,17.28,0.0,0.596,1.0,0.0,[OK],run5
Genre,31,1500,2.07,1.46,2.92,0.0,0.147,1.0,0.0,[OK],run6
Origine,37,1500,2.47,1.79,3.38,0.0,0.174,1.0,0.0,[OK],run6
Âge,27,1500,1.8,1.24,2.61,0.0,0.128,0.999,0.0,[OK],run6
Genre,5,300,1.67,0.71,3.84,0.0615,0.117,0.526,0.1844,[ERR],run7
Origine,2,300,0.67,0.18,2.4,0.4992,0.022,0.06,1.0,[ERR],run7
Âge,1,300,0.33,0.06,1.86,1.0,-0.026,0.06,1.0,[ERR],run7
